buy_usdc,snusd_received,avg_price,borrowable_usdc,net_profit_usdc
5550.0000000000,4357.0991922444,1.2737832570,4240.6261057307,-1440.1514262693
5600.0000000000,4375.5012123196,1.2798533764,4258.5362067602,-1472.2413252398
5650.0000000000,4393.7295012824,1.2859234958,4276.2772208221,-1504.5003111779
5700.0000000000,4411.7865078337,1.2919936153,4293.8515311589,-1536.9260008411
5750.0000000000,4429.6746348710,1.2980637347,4311.2614764344,-1569.5160555656
5800.0000000000,4447.3962405544,1.3041338541,4328.5093517709,-1602.2681802291
5850.0000000000,4464.9536393429,1.3102039736,4345.5974097577,-1635.1801222423
5900.0000000000,4482.3491030024,1.3162740930,4362.5278614323,-1668.2496705677
5950.0000000000,4499.5848615851,1.3223442124,4379.3028772337,-1701.4746547663
6000.0000000000,4516.6631043829,1.3284143318,4395.9245879299,-1734.8529440701
6050.0000000000,4533.5859808542,1.3344844513,4412.3950855206,-1768.3824464794
6100.0000000000,4550.3556015259,1.3405545707,4428.7164241144,-1802.0611078856
6150.0000000000,4566.9740388708,1.3466246901,4444.8906207833,-1835.8869112167
6200.0000000000,4583.4433281614,1.3526948096,4460.9196563933,-1869.8578756067
6250.0000000000,4599.7654683009,1.3587649290,4476.8054764131,-1903.9720555869
6300.0000000000,4615.9424226318,1.3648350484,4492.5499917019,-1938.2275402981
6350.0000000000,4631.9761197234,1.3709051679,4508.1550792746,-1972.6224527254
6400.0000000000,4647.8684541381,1.3769752873,4523.6225830487,-2007.1549489513
6450.0000000000,4663.6212871779,1.3830454067,4538.9543145701,-2041.8232174299
6500.0000000000,4679.2364476107,1.3891155262,4554.1520537206,-2076.6254782794
6550.0000000000,4694.7157323783,1.3951856456,4569.2175494065,-2111.5599825935
6600.0000000000,4710.0609072860,1.4012557650,4584.1525202298,-2146.6250117702
6650.0000000000,4725.2737076733,1.4073258845,4598.9586551415,-2181.8188768585
6700.0000000000,4740.3558390692,1.4133960039,4613.6376140784,-2217.1399179216
6750.0000000000,4755.3089778285,1.4194661233,4628.1910285837,-2252.5865034163
6800.0000000000,4770.1347717537,1.4255362428,4642.6205024110,-2288.1570295890
6850.0000000000,4784.8348407000,1.4316063622,4656.9276121139,-2323.8499198861
6900.0000000000,4799.4107771655,1.4376764816,4671.1139076201,-2359.6636243799
6950.0000000000,4813.8641468661,1.4437466011,4685.1809127911,-2395.5966192089
7000.0000000000,4828.1964892960,1.4498167205,4699.1301259678,-2431.6474060322
7050.0000000000,4842.4093182748,1.4558868399,4712.9630205026,-2467.8145114974
7100.0000000000,4856.5041224804,1.4619569594,4726.6810452783,-2504.0964867217
7150.0000000000,4870.4823659683,1.4680270788,4740.2856252136,-2540.4919067864
7200.0000000000,4884.3454886792,1.4740971982,4753.7781617570,-2576.9993702430
7250.0000000000,4898.0949069331,1.4801673177,4767.1600333678,-2613.6174986322
7300.0000000000,4911.7320139118,1.4862374371,4780.4325959855,-2650.3449360145
7350.0000000000,4925.2581801294,1.4923075565,4793.5971834879,-2687.1803485121
7400.0000000000,4938.6747538914,1.4983776759,4806.6551081378,-2724.1224238622
7450.0000000000,4951.9830617431,1.5044477954,4819.6076610196,-2761.1698709804
7500.0000000000,4965.1844089062,1.5105179148,4832.4561124642,-2798.3214195358
7550.0000000000,4978.2800797062,1.5165880342,4845.2017124646,-2835.5758195354
7600.0000000000,4991.2713379883,1.5226581537,4857.8456910813,-2872.9318409187
7650.0000000000,5004.1594275246,1.5287282731,4870.3892588380,-2910.3882731620
7700.0000000000,5016.9455724105,1.5347983925,4882.8336071080,-2947.9439248920
7750.0000000000,5029.6309774528,1.5408685120,4895.1799084911,-2985.5976235089
7800.0000000000,5042.2168285475,1.5469386314,4907.4293171826,-3023.3482148174
7850.0000000000,5054.7042930501,1.5530087508,4919.5829693323,-3061.1945626677
7900.0000000000,5067.0945201359,1.5590788703,4931.6419833959,-3099.1355486041
7950.0000000000,5079.3886411530,1.5651489897,4943.6074604787,-3137.1700715213
8000.0000000000,5091.5877699663,1.5712191091,4955.4804846698,-3175.2970473302
